severity,lat,long,weather,light,main cause,collosion type,occurred_from,
3,14.65330575,120.9978819,3,2,1,10,23,
1,14.5320977,120.993129,4,2,1,4,22,
1,14.5652541,121.0689998,4,2,1,10,3,
1,14.6155762,121.0755646,4,2,1,8,3,
3,14.58208827,120.9764671,4,2,1,7,1,
3,14.7059656,121.0730076,4,2,1,4,0,
1,14.60803,121.0563724,4,2,1,10,2,
1,14.61940247,121.0540795,4,2,1,10,2,
1,14.55347021,120.9890628,4,2,1,10,1,
1,14.5815943,121.0539443,4,2,1,10,1,
1,14.59946394,121.0497354,3,2,1,10,1,
1,14.6371165,121.02622,3,2,1,10,0,
1,14.58233747,121.076889,3,2,1,8,0,
1,14.5630268,121.0390326,3,2,1,3,0,
1,14.6285795,121.077451,3,2,1,10,0,
1,14.58952255,121.0600233,3,1,1,10,0,
1,14.58584695,121.0779849,3,2,1,10,0,
1,14.58391572,121.0557747,3,2,1,10,23,
1,14.66156797,121.0647011,3,2,1,10,23,
1,14.6235083,121.0491228,1,2,1,10,1,
1,14.61466327,121.0707307,1,2,1,10,0,
3,14.6325282,121.0451338,1,2,1,4,0,
1,14.6124577,121.0542005,1,2,1,10,0,
1,14.64616428,121.0409206,1,2,1,10,23,
1,14.62806045,121.0472775,1,2,1,8,23,
1,14.63193255,121.0747004,1,2,1,8,23,
1,14.61543671,121.0747004,1,2,1,10,22,
1,14.58974215,121.0704634,4,2,1,10,5,
1,14.6152589,121.0494889,4,2,1,10,4,
1,14.6576562,121.0195885,4,2,1,10,4,
1,14.54904095,121.0277159,4,2,1,10,4,
1,14.6814654,121.0320763,4,2,1,10,1,
1,14.6569805,121.0028628,1,2,1,10,23,
1,14.592862,121.0589089,1,2,1,10,5,
1,14.63989835,121.0781952,1,2,1,10,4,
1,14.55626884,121.0628892,1,2,1,8,4,
1,14.66545765,121.0710479,1,2,1,10,4,
1,14.54904095,121.0277159,1,2,1,10,3,
1,14.55758247,121.0620403,1,2,1,10,2,
1,14.64375606,120.9935474,1,2,1,10,2,
1,14.531942,121.020555,1,2,1,10,1,
1,14.5821487,121.0707202,1,2,1,10,1,
1,14.6048715,121.0573144,1,2,1,10,1,
1,14.59654505,121.0760004,1,2,1,10,0,
1,14.63108435,121.0727831,1,2,1,10,0,
1,14.54904095,121.0277159,1,2,1,10,0,
1,14.619062,121.0731209,1,2,1,10,0,
1,14.5665133,121.0377963,1,2,1,10,0,
1,14.687484,121.0872638,1,2,1,10,4,
1,14.5370725,120.9924556,1,2,1,10,4,
1,14.6188151,121.0149963,1,2,1,8,4,
1,14.6117408,121.0756123,1,2,1,10,3,
1,14.5827528,121.0767925,1,2,1,8,2,
1,14.64385986,121.0747862,1,2,1,10,2,
1,14.6509921,121.0744676,1,2,1,4,1,
1,14.6455819,121.0411769,1,2,1,10,1,
3,14.62823693,121.0131383,2,1,1,4,22,
1,14.5837392,121.0554421,2,1,1,10,22,
3,14.57704196,121.0732841,4,2,1,10,1,
1,14.61660983,121.0524487,4,2,1,10,23,
1,14.64450344,121.0376966,1,2,1,10,22,
1,14.61852004,121.0921347,4,2,1,10,22,
1,14.57760656,121.0733784,4,2,1,10,3,
1,14.6517076,121.0463525,4,2,1,10,3,
1,14.61618419,121.0755694,4,2,1,8,2,
1,14.66372171,121.0751402,4,2,1,8,0,
1,14.57793494,121.073885,4,2,1,10,0,
1,14.5524807,120.9897367,4,2,1,10,23,
1,14.6161738,121.075505,5,2,1,10,21,
4,14.5418771,121.0533848,4,2,1,10,1,
3,14.6183167,121.0938926,4,2,1,10,1,
1,14.5989537,121.0552885,4,2,1,8,1,
1,14.54904095,121.0277159,4,2,1,10,1,
1,14.62830959,121.0135138,4,2,1,10,1,
1,14.57772078,121.0732738,4,2,1,10,0,
1,14.5652541,121.0689998,4,2,1,10,0,
1,14.65436839,121.0484365,4,2,1,10,0,
1,14.5655234,121.0379694,4,2,1,10,23,
